,id,original_title,poster_path,overview,budget,genres,release_date,popularity,revenue,director,top_cast,keywords
2281,9837,The Prince of Egypt,/wD34ls2faCrj8YvFViEaPfBtBEe.jpg,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.",70000000, Adventure Animation Drama Family Music,1998-12-15,11.898185,218613188.0,Brenda Chapman, Val Kilmer Ralph Fiennes Patrick Stewart, moses egypt pyramid exodus kingdom governance ancient egypt hebrew pharaoh woman director
2282,11545,Rushmore,/q3ov1BFTCRWoR9Q6udaRbmgfWwg.jpg,"When a beautiful first-grade teacher arrives at a prep school, she soon attracts the attention of an ambitious teenager named Max, who quickly falls in love with her. Max turns to the father of two of his schoolmates for advice on how to woo the teacher. However, the situation soon gets complicated when Max's new friend becomes involved with her, setting the two pals against one another in a war for her attention.",9000000, Comedy Drama,1998-09-17,5.997054,17096053.0,Wes Anderson, Jason Schwartzman Olivia Williams Bill Murray, private school lone wolf theatre play theatre group theatre director independent film
2283,1934,Shakespeare in Love,/sAN5jedynbs3pa3ww0UXQ1k0lRF.jpg,"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy.",25000000, Romance History,1998-12-11,13.813155,289317794.0,John Madden, Joseph Fiennes Gwyneth Paltrow Geoffrey Rush, shakespeare love of one's life oscar award theatre play theatre group writer's block theatre milieu author speculative false history
2286,13764,Santa Claus: The Movie,/eYQ4c6NhU59YGRsH6kp1oKZHhNt.jpg,"The first half of this film, set hundreds of years ago, shows how the old man who eventually became Santa Claus was given immortality and chosen to deliver toys to all the children of the world. The second half moves into the modern era, in which Patch, the head elf, strikes out on his own and falls in with an evil toy manufacturer who wants to corner the market and eliminate Santa Claus.",50000000, Family Fantasy Adventure Science Fiction Comedy,1985-10-29,11.690532,23717291.0,Jeannot Szwarc, Dudley Moore John Lithgow David Huddleston, holiday christmas
2288,8879,Pale Rider,/kpAN5WnDEVWYzMDPkXHTbrDQuak.jpg,A small gold mining camp is terrorised by a ruthless land owner wanting to take their land. Clint Eastwood arrives riding a pale horse just as a young girl is praying to God to help the miners. He is revealed to be a preacher with mysterious and possible otherworldly origins who teams up with the miners to defeat the land owner and the corrupt sheriff.,0, Romance Western,1985-06-28,9.385078,41410568.0,Clint Eastwood, Clint Eastwood Michael Moriarty Carrie Snodgress, gunslinger showdown marshal blackmail mine settler gold mining town violence killer preacher gold miner strange person
2289,1369,Rambo: First Blood Part II,/l6zUaYqaQ5TFokesv3BPzBvSN0.jpg,John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.,44000000, Action Adventure Thriller War,1985-05-21,11.924462,300400432.0,George P. Cosmatos, Sylvester Stallone Richard Crenna Charles Napier, usa vietnam veteran submachine gun prisoner prisoners of war liberation of prisoners liberation vietnam vietnam war chase machinegun u.s. army forest photography government war revenge soldier agent denunciation
2290,1368,First Blood,/bbYNNEGLXrV3lJpHDg7CKaPscCb.jpg,"When former Green Beret John Rambo is harassed by local law enforcement and arrested for vagrancy, the Vietnam vet snaps, runs for the hills and rat-a-tat-tats his way into the action-movie hall of fame. Hounded by a relentless sheriff, Rambo employs heavy-handed guerilla tactics to shake the cops off his tail.",15000000, Action Adventure Thriller War,1982-10-22,14.778884,125212904.0,Ted Kotcheff, Sylvester Stallone Richard Crenna Brian Dennehy, prison vietnam veteran falsely accused police brutality sheriff guerrilla submachine gun gun destroy self-defense vietnam vietnam war prosecution dying and death police operation attempt to escape matter of life and death survivor tramp national guard weapon firearm police escape rural setting
2291,1370,Rambo III,/oCD41FfUs1OMCdPaf5EcJ6dxxMW.jpg,"Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured.",63000000, Action Adventure Thriller War,1988-05-24,11.624866,189015611.0,Peter MacDonald, Sylvester Stallone Richard Crenna Kurtwood Smith, competition submachine gun soviet union liberation russian soviet troops thailand freedom fighter afghanistan war on freedom machinegun mujahid reality show western japanese food soap opera
2292,10303,The Jewel of the Nile,/6VjsIhnIcrz2XdQVHdsMj5DdSa1.jpg,"Joan Wilder is thrust back into a world of murder, chases, foreign intrigue... and love. This time out she's duped by a duplicitous Arab dignitary who brings her to the Middle East, ostensibly to write a book about his life. Of course he's up to no good, and Joan is just another pawn in his wicked game. But Jack Colton and his sidekick Ralph show up to help our intrepid heroine save the day.",25000000, Action Adventure Comedy Romance,1985-12-04,10.571841,96773200.0,Lewis Teague, Michael Douglas Kathleen Turner Danny DeVito, diving dictator africa riddle treasure nile palace treasure hunt guru romance desert double cross archaeologist novelist swashbuckler adventurer archeology 
2293,9326,Romancing the Stone,/3TqpkTYiltYsxYatdug6WDgdRKL.jpg,"Though she can spin wild tales of passionate romance, novelist Joan Wilder has no life of her own. Then one day adventure comes her way in the form of a mysterious package. It turns out that the parcel is the ransom she'll need to free her abducted sister, so Joan flies to South America to hand it over. But she gets on the wrong bus and winds up hopelessly stranded in the jungle...",10000000, Action Adventure Comedy Romance,1984-03-30,6.827193,86572238.0,Robert Zemeckis, Michael Douglas Kathleen Turner Danny DeVito, riddle treasure hero map colombia alligator crocodile treasure hunt betrayal marijuana jungle author central america drug lord south america double cross archaeologist novelist aeroplane jewel smuggler opposites attract archeology 
2294,10328,Cocoon,/foIhEPQoqDctfwsHmmYwbNz5A2g.jpg,"A group of aliens return to earth to take back some cocoons of their people they left behind from an earlier trip. They kept the recovered cocoons in the swimming pool of a house they rented in a small Florida town. Their mission is hampered by a number of old people from an elderly home nearby, who have been secretly using the pool and discovering the unusual power of these cocoons.",0, Comedy Drama Science Fiction,1985-06-21,5.773277,85313124.0,Ron Howard, Steve Guttenberg Tahnee Welch Brian Dennehy, swimming pool alien tears police car mahjong boat trouble siren cocoon senior citizen retirement community giving away money retirement home trespass defibrillation charter boat elderly space and aliens benign alien golden years rejuvenate
2295,11285,Cocoon: The Return,/AkPcfRIZ1ZynIB2nnOOOWzHPOT9.jpg,"The old age pensioners that left at the end of the first film come back to earth to visit their relatives. Will they all decide to go back to the planet where no-one grows old, or will they be tempted to stay back on earth, or will they?",17500000, Comedy Drama Science Fiction,1988-09-13,12.167265,25024919.0,Daniel Petrie, Don Ameche Wilford Brimley Courteney Cox, return pregnant shape shifting alien pregnant woman expectant father expectant mother pregnant wife shape shifter cocoon senior citizen human alien human form ice cream sundae wife and husband lead actors
2296,1367,Rocky II,/fqJH7mI4dFANRay8qdJoGa7fK1k.jpg,"After Rocky goes the distance with champ Apollo Creed, both try to put the fight behind them and move on. Rocky settles down with Adrian but can't put his life together outside the ring, while Creed seeks a rematch to restore his reputation. Soon enough, the ""Master of Disaster"" and the ""Italian Stallion"" are set on a collision course for a climactic battle that is brutal and unforgettable.",7000000, Drama,1979-06-15,11.789813,200182160.0,Sylvester Stallone, Sylvester Stallone Talia Shire Burt Young, transporter coma wife husband relationship intensive care hero love of one's life publicity boxer boxing match training world champion victory sport hospital
2297,1371,Rocky III,/ns55NGqTDEEjcI9z2a9htA2cFtG.jpg,"Now the world champion, Rocky Balboa is living in luxury and only fighting opponents who pose no threat to him in the ring. His lifestyle of wealth and idleness is shaken when a powerful young fighter known as Clubber Lang challenges him to a bout. After taking a pounding from Lang, the humbled champ turns to former bitter rival Apollo Creed to help him regain his form for a rematch with Lang.",17000000, Drama,1982-05-28,11.673366,270000000.0,Sylvester Stallone, Sylvester Stallone Talia Shire Burt Young, transporter trainer boxer dying and death boxing match comeback training world champion challenger rematch defeat victory sport revenge fame wealth
2298,1374,Rocky IV,/q2nkVddOshjhJ19oQYmViQHxyjj.jpg,"Rocky must come out of retirement to battle a gargantuan Soviet fighter named Drago, who brutally punished Rocky's friend and former rival, Apollo Creed. Seeking revenge in the name of his fallen comrade and his country, Rocky agrees to fight Drago in Moscow on Christmas, and the bout changes both fighters -- and the world.",31000000, Drama,1985-11-21,10.25721,300473716.0,Sylvester Stallone, Sylvester Stallone Talia Shire Burt Young, usa transporter loss of lover cold war soviet union boxer kgb dying and death loss of powers boxing match training matter of life and death sibiria friendship victory sport revenge
2299,1375,Rocky V,/5P2RiuLt31mWyb6duww8qlAhs6G.jpg,"A lifetime of taking shots has ended Rocky's career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",42000000, Drama,1990-10-18,14.007329,119946358.0,John G. Avildsen, Sylvester Stallone Talia Shire Burt Young, philadelphia transporter father son relationship cataclysm trainer restart bankrupt boxer disappointment career boxing match training world champion challenger street riots sponsorship challenge champion tax consultant boxing school praise friendship sport father figure
2300,15196,Clue,/suzDcrxpuNPDnBwOOy8vBLsygwp.jpg,"Clue finds six colorful dinner guests gathered at the mansion of their host, Mr. Boddy -- who turns up dead after his secret is exposed: He was blackmailing all of them. With the killer among them, the guests and Boddy's chatty butler must suss out the culprit before the body count rises.",15000000, Comedy Thriller Crime Mystery,1985-12-13,7.720009,14643997.0,Jonathan Lynn, Eileen Brennan Tim Curry Madeline Kahn, board game mystery mansion old house based on game
2303,15596,Back to School,/8k0qfMvpHPttsyt8MqZJR8IOaRN.jpg,"Self-made millionaire Thornton Melon decides to get a better education and enrolls at his son Jason's college. While Jason tries to fit in with his fellow students, Thornton struggles to gain his son's respect, giving way to hilarious antics.",0, Comedy,1986-06-13,6.669879,91258000.0,Alan Metter, Rodney Dangerfield Keith Gordon William Zabka, college whirlpool clothing store source music poetry recitation bribe clothing store owner reference to longfellow tutoring
2306,44326,Extremities,/pMN14kaump5CrzbSl1C0a2E0M4f.jpg,"A woman escapes from the man who is about to rape her, but leaves her purse behind. Afraid that her attacker might come after her, she goes to the police, but with no proof of the incident, they can do nothing. In fact, the man does use the information in her bag and comes to her apartment with the intent of rape, but she sprays him in the face with insect repellent, and then holds him captive. She is then faced with deciding whether to go to the police who might not believe her and release him, or to kill him.",0, Drama Thriller,1986-08-22,10.273979,13418091.0,Robert M. Young, Farrah Fawcett James Russo Alfre Woodard, nudity harassment revenge suspense rape attempt torture grave digging submission defenseless woman police inaction
2307,1885,The Karate Kid,/5kKor5pZ3ov08CAstSyk7FGDKVN.jpg,"Hassled by the school bullies, Daniel LaRusso has his share of adolescent woes. Luckily, his apartment building houses a resident martial arts master: Kesuke Miyagi, who agrees to train Daniel ... and ends up teaching him much more than self-defense. Armed with newfound confidence, skill and wisdom, Daniel ultimately faces off against his tormentors in this hugely popular classic underdog tale.",8000000, Drama,1984-06-22,7.64499,90815558.0,John G. Avildsen, Ralph Macchio Pat Morita William Zabka, flat taskmaster karate egg kids and family motorcycle
2308,8856,"The Karate Kid, Part II",/4zmEPGKrD3sgjHZUs99tknEBaJy.jpg,"Mr. Miyagi and Daniel take a trip to Okinawa to visit Mr. Miyagi's dying father. After arriving Mr. Miyagi finds he still has feelings for an old love. This stirs up trouble with an old rival who he originally left Okinawa to avoid. In the mean time, Daniel encounters a new love and also makes some enemies.",113, Adventure Drama Action Romance Family,1986-06-18,9.231318,115103979.0,John G. Avildsen, Ralph Macchio Pat Morita Martin Kove, martial arts karate okinawa revanche self esteem
2309,10495,"The Karate Kid, Part III",/2Z0EJl11kOSPMMvHqZ4r5Csh7Ph.jpg,"Kreese, his life in tatters after his karate school was defeated by Daniel and Mr. Miyagi, visits Terry, a friend from Vietnam. Terry is a ruthless business man and a martial arts expert, and he vows to help Kreese take revenge on Daniel and Mr. Miyagi.",0, Family Adventure,1989-06-29,6.441664,38956288.0,John G. Avildsen, Ralph Macchio Pat Morita Martin Kove, japan japanese confidence karate business man adversary fighter duel good and bad
2310,5825,National Lampoon's Christmas Vacation,/uh2sQFjRXCwexWcBtV7OEnL1c5G.jpg,"It's Christmas time and the Griswolds are preparing for a family seasonal celebration, but things never run smoothly for Clark, his wife Ellen and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going knowing that his Christmas bonus is due soon.",27000000, Comedy,1989-12-01,9.802574,71320000.0,Jeremiah S. Chechik, Chevy Chase Beverly D'Angelo Randy Quaid, holiday boss cigar neighbor christmas eve christmas christmas bonus jello
2311,9489,You've Got Mail,/2XIsqnCwEE3Uf5TlP9H68STgtk6.jpg,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet – both blissfully unaware that he's putting her out of business.",65000000, Comedy Romance,1998-12-17,10.237996,250821495.0,Nora Ephron, Tom Hanks Meg Ryan Katie Sagona, romantic comedy online dating woman director
2312,16885,The General,/hAPqcsMhvn0gfQRAbm2UrmDzloj.jpg,"In a twenty-year career marked by obsessive secrecy, brutality and meticulous planning, Cahill netted over £40 million. He was untouchable - until a bullet from an IRA hitman ended it all.",0, Drama Action Crime,1998-05-01,2.21138,1214198.0,John Boorman, Brendan Gleeson Adrian Dunbar Sean McGinley, robbery based on true story gangster ira ireland police reporter
2314,8741,The Thin Red Line,/jGDK6eM6vb8VEUmR0ZoaghcCG8f.jpg,"Based on the graphic novel by James Jones, The Thin Red Line tells the story of a group of men, an Army Rifle company called C-for-Charlie, who change, suffer, and ultimately make essential discoveries about themselves during the fierce World War II battle of Guadalcanal. It follows their journey, from the surprise of an unopposed landing, through the bloody and exhausting battles that follow, to the ultimate departure of those who survived. A powerful frontline cast - including Sean Penn, Nick Nolte, Woody Harrelson and George Clooney - explodes into action in this hauntingly realistic view of military and moral chaos in the Pacific during World War II.",52000000, Drama History War,1998-12-25,9.783966,98126565.0,Terrence Malick, Sean Penn Adrien Brody Jim Caviezel, based on novel japanese world war ii battle assignment invasion marine corps u.s. army commander pacific rifle survival jungle infantry steel helmet sergeant pacific island soldier battle fighting guadalcanal awol philosophic conflict
2315,9276,The Faculty,/6L1SgKyzDy5x2oEskUyfMcdVed2.jpg,"When some very creepy things start happening around school, the kids at Herrington High make a chilling discovery that confirms their worst suspicions: their teachers really are from another planet! As mind-controlling parasites rapidly begin spreading from the faculty to the students' bodies, it's ultimately up to the few who are left – an unlikely collection of loners, leaders, nerds and jocks – to save the world from alien domination.",15000000, Horror Mystery Science Fiction,1998-12-25,13.462253,40283321.0,Robert Rodriguez, Jordana Brewster Elijah Wood Clea DuVall, american football high school alien teacher teenager drug alien infection doppelganger anti authority mob students groupthink
2318,10312,Patch Adams,/2T0Mj8gkTXgciedz8W5nsnjCHig.jpg,"Meet Patch Adams, a doctor who doesn't look, act or think like any doctor you've met before. For Patch, humor is the best medicine, and he's willing to do just anything to make his patients laugh - even if it means risking his own career.",50000000, Comedy Drama,1998-12-25,12.52181,202292902.0,Tom Shadyac, Robin Williams Philip Seymour Hoffman Bob Gunton, nurse hospital doctor laughter
2320,9422,A Civil Action,/81TGgmcObcfL6jcjPsU1n4n9THI.jpg,"Jan Schlickmann is a cynical lawyer who goes out to ""get rid of"" a case, only to find out it is potentially worth millions. The case becomes his obsession, to the extent that he is willing to give up everything - including his career and his clients' goals, in order to continue the case against all odds.",70000000, Drama,1998-03-05,9.353499,56702901.0,Steven Zaillian, John Travolta Robert Duvall Tony Shalhoub, success advancement right and justice leukemia lawyer business start-up
2323,10368,Tea with Mussolini,/zdjO9Ji3Yqn6ZDe7VwtdQ4F9G8f.jpg,"Semi-autobiographical film directed by Franco Zeffirelli, telling the story of young Italian boy Luca's upbringing by a circle of English and American women, before and during World War II.",12000000, Comedy Drama War,1999-03-25,3.094893,21001563.0,Franco Zeffirelli, Cher Judi Dench Joan Plowright, italy hotel loss of mother ambassador world war ii loss of parents widow benito mussolini independent film
2326,31662,Affliction,/xsdsTbD2yZO8obl5Z8sRnMhjsX1.jpg,A small town policeman must investigate a suspicious hunting accident. The investigation and other events result in his slowly disintegrating mentally.,6000000, Drama,1997-08-28,4.40959,6330054.0,Paul Schrader, Nick Nolte James Coburn Sissy Spacek,
2330,825,Playing by Heart,/2j4ABlRueaSI7fWBcl9vAiFPHQD.jpg,"Eleven articulate people work through affairs of the heart in L.A. Paul produces Hannah's TV cooking show. Mark is dying of AIDS. Men have scalded Meredith so she rebuffs Trent's charm, but he persists. The trendy, prolix Joan tries to pull the solitary Keenan into her orbit. An adulterous couple meet at hotels for evening sex. Hugh tells tall tales, usually tragic, to women in bars.",20000000, Drama,1998-12-30,3.010088,3970078.0,Willard Carroll, Gillian Anderson Ellen Burstyn Sean Connery, sex adultery hotel aids wedding vows los angeles relationship family
2335,9423,Virus,/5Np88iigCfnXvMlMKmCcbPVIbYQ.jpg,"When the crew of an American tugboat boards an abandoned Russian research vessel, the alien life form aboard regards them as a virus which must be destroyed.",75000000, Horror Action Science Fiction,1999-01-14,7.116537,14010690.0,John Bruno, Jamie Lee Curtis William Baldwin Donald Sutherland, deserter tornado russian alien life-form shooting evil insurance virus
2337,10658,Howard the Duck,/f2pj3SSj1GdFSrS5bUojT56umL6.jpg,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,37000000, Comedy Fantasy Science Fiction,1986-08-01,10.722672,37962774.0,Willard Huyck, Lea Thompson Jeffrey Jones Tim Robbins, duck physicist extraterrestrial anthropomorphism alien invasion alternative reality
2340,24086,The Boy Who Could Fly,/3oso2pYofHjVvPYeQ6JOJmoXQSM.jpg,"Milly and Louis, and their recently-widowed mom, Charlene, move to a new neighborhood. Once there, they all deal with a variety of personal problems, but Milly finds a friend in Eric, her autistic next door neighbor. Eric has a fascination with flight, and as the story progresses, he exerts an enthralling force of change on all those around him.",0, Drama Family Fantasy Science Fiction,1986-08-15,3.791972,7177431.0,Nick Castle, Jay Underwood Fred Savage Bonnie Bedelia,
2341,11815,The Fly,/jA6GYQDuR0RV99sWcjCzz8gcbHB.jpg,"In Montreal, the industrial François Delambre is called late night by his sister-in-law Helene Delambre. She tells him that she has just killed her beloved husband Andre Delambre, using the press of their plant to press his head and left hand. François calls his acquaintance, Inspector Charas, and later the reluctant Helene is convinced to tell them what happened. She explains that Andre had invented a matter transportation apparatus, and while experimenting with himself, a fly entered the chamber, exchanging one hand and the head with him after the transference.",700000, Drama Horror Science Fiction,1958-07-16,8.407369,3000000.0,Kurt Neumann, David Hedison Patricia Owens Vincent Price, teleportation human experimentation hybrid fly the insect
2342,9426,The Fly,/q49tjSe3O152t9QVwaradePGu7W.jpg,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.",15000000, Horror Science Fiction,1986-08-15,13.534589,60629159.0,David Cronenberg, Jeff Goldblum Geena Davis John Getz, mutant mutation human experimentation to beam remake scientist science fly the insect animal horror
2343,10344,The Fly II,/zoIWGWVMCbkmsVieP99br9ZC8yY.jpg,"Martin Brundle, born of the human/fly, is adopted by his father's place of employment (Bartok Inc.) while the employees simply wait for his mutant chromosomes to come out of their dormant state.",0, Horror Science Fiction Thriller,1989-02-10,9.207436,38903179.0,Chris Walas, Eric Stoltz Daphne Zuniga Lee Richardson, monster experiment industrialist sequel fly the insect
2345,2620,Armed and Dangerous,/5pO6QI7zKYDbic1ULYQkZ7VLV18.jpg,"Dooley, a cop wrongly sacked for corruption, teams up with a useless defence lawyer in their new careers... as security guards. When the two are made fall guys for a robbery at a location they are guarding, the pair begin to investigate corruption within the company and their union. They soon make enemies of everyone, but can the unlikely duo save the day?",12000000, Action Comedy Crime,1986-08-15,5.037671,15945534.0,Mark L. Lester, John Candy Eugene Levy Robert Loggia, corruption ex-cop private detective criminal defence lawyer
2346,30497,The Texas Chain Saw Massacre,/hXF5nuEvUIlMXv4fOCIhA8KWaN2.jpg,Five friends visiting their grandfather's house in the country are hunted and terrorized by a chain-saw wielding killer and his family of grave-robbing cannibals.,85000, Horror,1974-10-01,15.526413,30859000.0,Tobe Hooper, Marilyn Burns Allen Danziger Paul A. Partain, gas station texas van gore midnight movie surprise ending shock in the end leatherface hitchhiker slaughterhouse slasher chainsaw family polaroid cannibals proto-slasher
2347,16337,The Texas Chainsaw Massacre 2,/1EI0Qs6AhtxdamRBsFC4zm2I6sj.jpg,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,4700000, Horror,1986-08-22,9.501011,8025872.0,Tobe Hooper, Dennis Hopper Caroline Williams Jim Siedow, hammer gore slasher chainsaw b horror
2348,25018,Leatherface: Texas Chainsaw Massacre III,/6NmMY1e7P9bkb0I1srDuV6fjIzt.jpg,"A couple encounters a perverted gas station attendant who threatens them with a shotgun. They take a deserted path in Texas to seek help, but only meet up with a cannibalistic clan interested in helping themselves to fresh meat.",0, Horror Thriller,1990-01-12,5.79907,5765562.0,Jeff Burr, Kate Hodge Ken Foree R.A. Mihailoff, sequel leatherface death
2349,16780,Texas Chainsaw Massacre: The Next Generation,/eSg1yVW3R2iIj5WqMvua5MQeJsF.jpg,"Everyone's favorite chainsaw-wielding psychopath, Leatherface, is back for more prom-night gore, and this time he's joined by his bloodthirsty family. Four stranded yet carefree teens are taken in by a backwoods family, clueless of their host family's grisly habits. The terrified youths, including sweet Jenny, try to escape from Leatherface and his crazed clan, including the bionic Vilmer.",600000, Horror Comedy Thriller,1994-01-01,6.854576,185898.0,Kim Henkel, Renée Zellweger Matthew McConaughey Robert Jacks, female nudity texas sadism sequel leatherface hitchhiker cross dressing chainsaw torture cannibal splatter skin psychos
2350,12151,Ruthless People,/nH0nq1Nk7jTlZv1aj7SnspMJyQy.jpg,"A couple, cheated by a vile businessman, kidnap his wife in retaliation, without knowing that their enemy is delighted they did.",0, Comedy,1986-06-26,7.427491,71624879.0,Jim Abrahams, Danny DeVito Bette Midler Judge Reinhold, ransom lover (female) kidnapping business man
2351,25438,Trick or Treat,/21ouEk4YP3kwmghiIjplbyayK3l.jpg,"Eddie is your average 80's metal head teen. Now he's obsessed with his heavy-metal superstar idol, Sammi Curr who is killed in a hotel fire. Eddie becomes the recipient of the only copy of Curr's unreleased album, which when played backwards brings Sammi back to life. As Halloween approaches, Eddie begins to realize that this isn't only rock 'n roll... it's life and death.",0, Horror Music,1986-10-24,2.612214,6797218.0,Charles Martin Smith, Marc Price Tony Fields Lisa Orgolini, rock star halloween heavy metal rock 'n' roll
2352,33278,Deadly Friend,/cLuIQDB0SjvptANfLTpNxs9tXcP.jpg,"Paul is a new kid in town with a robot named ""BB"". He befriends Samantha and the three of them have a lot of good times together. That is, until Samantha's abusive father throws her down some stairs and kills her. In an effort to save her life, Paul implants BB's computer brain into Samantha's human brain.",0, Horror Science Fiction,1986-10-10,5.012318,8988731.0,Wes Craven, Matthew Laborteaux Kristy Swanson Michael Sharrett, artificial intelligence child abuse basketball resurrection revenge teenager robot alcoholic brawl circuit board paranoiac
2353,274253,Belizaire the Cajun,/6Nm19lP4RfS8vmhaaqaBfqqicN8.jpg,"In 19th-century Louisiana's Cajun country, Belizaire (Armand Assante) is the informal spokesman for his citizens, who don't see eye to eye with local racists who wish to eradicate all Cajuns. Complicating matters is the fact that Belizaire's former flame (Gail Youngs) is now married to his biggest rival (Will Patton), an affluent landowner's son. Before he knows it, Belizaire is caught up in a web of murder, lies and prejudice.",0, Romance Drama History,1986-06-13,0.063442,1.0,Glen Pitre, Armand Assante Gail Youngs Michael Schoeffing, whipping
2354,192,The Name of the Rose,/dk3Vmp86t4lacnI3sQuU9ihOCUh.jpg,"14th-century Franciscan monk William of Baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. To solve the crimes, William must rise up against the Church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable.",20000000, Drama Thriller Mystery,1986-09-24,11.469751,77200000.0,Jean-Jacques Annaud, Sean Connery Christian Slater Helmut Qualtinger, christianity library inquisition monk poison secret passage labyrinth rich middle ages persecution medieval franciscan burned at the stake poor murder mystery theological debate
2356,10013,Peggy Sue Got Married,/hr3IcU519Ha5ADGuRLfhHlOi937.jpg,"Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.",18000000, Comedy Drama Fantasy Romance,1986-10-05,7.471655,41382841.0,Francis Ford Coppola, Nicolas Cage Jim Carrey Kathleen Turner, time travel high school reunion
2357,9671,Crocodile Dundee,/uQyFHP0BBQcOVAbfpmiTnj5rKDm.jpg,"When a New York reporter plucks crocodile hunter Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. Dundee proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",5000000, Adventure Comedy,1986-09-26,7.791212,328203506.0,Peter Faiman, Paul Hogan Linda Kozlowski Mark Blum, new york prostitute hotel journalist culture clash subway crocodile wilderness knife tourist limousine poacher city australian outback kangaroo
2358,9396,Crocodile Dundee II,/m8DRsyNMD1pzWIgOb7X6XN7R3y0.jpg,Australian outback expert protects his New York love from gangsters who've followed her down under.,0, Adventure Comedy,1988-05-19,8.948565,239606210.0,John Cornell, Paul Hogan Linda Kozlowski John Meillon, new york crocodile australia large knife aftercreditsstinger
2361,11873,The Color of Money,/xBFzAIDqlvyDIy5Zf5ASVz3kHwN.jpg,"Former pool hustler ""Fast Eddie"" Felson decides he wants to return to the game by taking a pupil. He meets talented but green Vincent Lauria and proposes a partnership. As they tour pool halls, Eddie teaches Vincent the tricks of scamming, but he eventually grows frustrated with Vincent's showboat antics, leading to an argument and a falling-out. Eddie takes up playing again and soon crosses paths with Vincent as an opponent.",13800000, Drama,1986-10-07,11.613655,52293982.0,Martin Scorsese, Paul Newman Tom Cruise Mary Elizabeth Mastrantonio, bar billard talent hustler sport
2362,18588,52 Pick-Up,/vNSp1QB0mJtBVCDtcb4UY0mNYAB.jpg,"Harry Mitchell is a successful Los Angeles manufacturer whose wife is running for city council. His life is turned upside down when three blackmailers confront him with a video tape of him with his young mistress and demand $100,000. Fearing that the story will hurt his wife's political campaign if he goes to the police, Harry pretends that he will pay the men, but does not follow through.",0, Crime Drama Thriller,1986-11-07,15.921964,5186646.0,John Frankenheimer, Roy Scheider Ann-Margret Vanity, female nudity infidelity blackmail porn actor murder suspense los angeles elmore leonard strippers
2363,10015,Heartbreak Ridge,/hbKkfRpjtoCYabxEmhklM6MhF7g.jpg,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",15000000, Action Comedy Drama War,1986-12-15,7.390012,42724017.0,Clint Eastwood, Clint Eastwood Marsha Mason Everett McGill, recruit officer battle assignment marine platoon combat
2364,12715,Firewalker,/v8DC9qUY6KNF4tqYq7agbwFqR78.jpg,A pair of adventurers try to track down an ancient Aztec/Mayan/Egyptian/Apache horde of gold.,0, Action Adventure Comedy,1986-11-21,3.150899,11949484.0,J. Lee Thompson," Chuck Norris Louis Gossett, Jr. Melody Anderson", secret passage martial arts gold treasure temple voodoo wretch treasure hunt jungle human sacrifice soldier drinking central america disguise catfight pretty woman aztec indian wisecrack humor buddy comedy bar fight woman in peril stranded in the desert
